date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:37:52	35135/35135	---M-Z	200	added ('OK')	application/javascript	etag:W/%229df69049c56f2c82b9cfb3543b333977%22	https://static.parastorage.com/services/wix-thunderbolt/dist/siteMembers.02ecf8c9.chunk.min.js	C:/My%20Web%20Sites/WEBSITE/static.parastorage.com/services/wix-thunderbolt/dist/siteMembers.02ecf8c9.chunk.min.js	(from https://jangra14111999.wixsite.com/my-site-1)
16:37:52	8755/8755	---M-Z	200	added ('OK')	application/javascript	etag:W/%2269bfa41d3692b31b222685af6bbd1c46%22	https://static.parastorage.com/services/wix-thunderbolt/dist/tpaCommons.9aeaa039.chunk.min.js	C:/My%20Web%20Sites/WEBSITE/static.parastorage.com/services/wix-thunderbolt/dist/tpaCommons.9aeaa039.chunk.min.js	(from https://jangra14111999.wixsite.com/my-site-1)
16:37:52	592/592	---M-Z	200	added ('OK')	application/javascript	etag:W/%221e51a946a4c481accd34dc87dfd8ef76%22	https://static.parastorage.com/services/wix-thunderbolt/dist/windowMessageRegistrar.0ba55729.chunk.min.js	C:/My%20Web%20Sites/WEBSITE/static.parastorage.com/services/wix-thunderbolt/dist/windowMessageRegistrar.0ba55729.chunk.min.js	(from https://jangra14111999.wixsite.com/my-site-1)
16:37:53	15786/15786	---MCZ	200	added ('OK')	application/javascript	etag:W/%227cdce8eae80a83712f3d93cf8fb3da68%22	https://static.parastorage.com/services/wix-thunderbolt/dist/platform.87784f29.chunk.min.js	C:/My%20Web%20Sites/WEBSITE/static.parastorage.com/services/wix-thunderbolt/dist/platform.87784f29.chunk.min.js	(from https://jangra14111999.wixsite.com/my-site-1)
16:37:53	11061/11061	---M-Z	200	added ('OK')	application/javascript	etag:W/%2258e89485854a12e290ac5a8da72ccc76%22	https://static.parastorage.com/services/tag-manager-client/1.413.0/siteTags.bundle.min.js	C:/My%20Web%20Sites/WEBSITE/static.parastorage.com/services/tag-manager-client/1.413.0/siteTags.bundle.min.js	(from https://jangra14111999.wixsite.com/my-site-1)
16:37:53	125424/125424	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c3f3708bc375f8d5568e804ddbb7dae9%22	https://static.parastorage.com/services/editor-elements/dist/thunderboltElements.1903e70e.bundle.min.js	C:/My%20Web%20Sites/WEBSITE/static.parastorage.com/services/editor-elements/dist/thunderboltElements.1903e70e.bundle.min.js	(from https://jangra14111999.wixsite.com/my-site-1)
16:37:54	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2021%20May%202021%2011:07:53%20GMT	https://jangra14111999.wixsite.com/	C:/My%20Web%20Sites/WEBSITE/jangra14111999.wixsite.com/index.html	(from https://jangra14111999.wixsite.com/my-site-1)
16:37:54	34128/34128	---M-Z	200	added ('OK')	application/javascript	etag:W/%22ad2ad831894b322c3a8894681c01dc5c%22	https://static.parastorage.com/services/wix-perf-measure/1.466.0/wix-perf-measure.bundle.min.js	C:/My%20Web%20Sites/WEBSITE/static.parastorage.com/services/wix-perf-measure/1.466.0/wix-perf-measure.bundle.min.js	(from https://jangra14111999.wixsite.com/my-site-1)
16:37:54	118656/118656	---M-Z	200	added ('OK')	application/javascript	etag:W/%22dcf51763fb4a654e15a4e6e7754ca5d2%22	https://static.parastorage.com/unpkg/react-dom@16.13.1/umd/react-dom.production.min.js	C:/My%20Web%20Sites/WEBSITE/static.parastorage.com/unpkg/react-dom@16.13.1/umd/react-dom.production.min.js	(from https://jangra14111999.wixsite.com/my-site-1)
16:37:54	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2021%20May%202021%2011:07:54%20GMT	https://jangra14111999.wixsite.com/my-site-1/version/	C:/My%20Web%20Sites/WEBSITE/jangra14111999.wixsite.com/my-site-1/version/index.html	(from https://jangra14111999.wixsite.com/my-site-1)
